"","Bacteroidetes_Sum","Firmicutes_Sum","Ratio"
"CtrlPN 1",0.65967015764,0.29822925922,2.21195653090957
"CtrlPN 2",0.59992991113,0.38127628823,1.57347815652281
"CtrlPN 3",0.727336330200001,0.22604008011,3.2177316953969
"CtrlPN 4",0.51162980182,0.46436290162,1.10178870886348
"CtrlPN 5",0.5969949776,0.3255939436,1.83355676398398
"CtrlPN 6",0.24408375089,0.54715942415,0.446092564830037
"MetPN 7",0.49584595096,0.45959214019,1.07888257348137
"MetPN 8",0.56817736154,0.25504761542,2.22773053809718
"MetPN 9",0.5275628866,0.3961952033,1.3315731291187
"MetPN 10",0.3695320634,0.5779854281,0.63934494787309
"MetPN 11",0.35723204431,0.58511519692,0.610532842405122
