"","GP","GN","Ratio","group"
"1",0.42722242011,0.57277756504,0.745878411072482,"CtrlPN"
"2",0.397425457839999,0.602574517480001,0.659545742993007,"CtrlPN"
"3",0.40291005869,0.59708995671,0.674789542450283,"CtrlPN"
"4",0.39826007257,0.60173986243,0.66184758138128,"CtrlPN"
"5",0.35562731037,0.64437263988,0.5518969744529,"CtrlPN"
"6",0.288109240189999,0.71189077572,0.404709893731392,"CtrlPN"
"7",0.23093971382,0.7690602766,0.300288183965214,"MetPN"
"8",0.20130393362,0.79869605292,0.252040726737088,"MetPN"
"9",0.35954943278,0.64045056912,0.561400754587559,"MetPN"
"10",0.398456322549999,0.6015436857,0.662389668484886,"MetPN"
"11",0.41203105745,0.58796896741,0.700770075102764,"MetPN"
"12",0.3868549698,0.61314503132,0.630935504716014,"MetPN"
"13",0.41110599182,0.588894020059999,0.69809843166367,"MetPN"
"14",0.483192269119999,0.51680775347,0.934955533998288,"MetPN"
"15",0.4515549854,0.54844501865,0.823336834221787,"MetPN"
