Actinobacteria,Bacteroidetes,CandidatusSaccharibacteria,Deferribacteres,Firmicutes,Proteobacteria,Tenericutes,Verrucomicrobia
0.01643010355,0.7054623402200004,0,2.580645e-4,0.26851612815999987,0.00731182806,0,0.002021505
0.0012732574800000001,0.6905984181799998,0,1.642913e-4,0.28952228759999976,0.01581303674,0,0.002628661
0.0054681398,0.6620912844999998,0,4.463788e-4,0.3117955589,0.0191942864,0,0.0010043522
0.0051756643000000005,0.6420907835800003,0,7.883462e-4,0.3349785883799999,0.01604112964,0,9.254499e-4
0.00598354575,0.6176978628699998,0,7.737343e-5,0.3576844620400004,1.6764243e-4,0.0179635346,4.255539e-4
0.00145396787,0.5051563842099999,0,1.349042e-4,0.49195073639999976,4.496808e-5,0.00122912736,2.997872e-5
0.0020136145700000003,0.6002824690499998,0,5.259441e-4,0.3906111477800001,2.1037764e-4,0.0063413828700000004,1.502697e-5
0.0018174132000000002,0.3535925254099999,0,1.267963e-4,0.6416736518099998,8.453084500000001e-4,0.001056636,8.87574e-4
0.00534603549,0.3570195313400001,0,0,0.62563184407,0.0021009713900000003,0.0034322796999999997,0.006469328
0.014053417799999999,0.424177748,0,0,0.5497266128000005,0.0035562747,0.0027714417,0.005714566
