Bacteroidetes,Bacteroidetes.1,Firmicutes,Actinobacteria,Actinobacteria.1,Bacteroidetes.2,Bacteroidetes.3,Firmicutes.1,Firmicutes.2,Bacteroidetes.4,Bacteroidetes.5,Bacteroidetes.6,Firmicutes.3,Firmicutes.4,Bacteroidetes.7,Bacteroidetes.8,Bacteroidetes.9
0,8.105698e-5,0,0,0,0,0,0,0,0,0,4.052849e-5,4.052849e-5,0,0,0,0
0,0,0,3.108873e-4,6.217745e-5,0,0,0,0,0,0,0,0,1.243549e-4,0,0,0
0,0,0,5.140067e-5,0,5.140067e-5,5.140067e-5,0,0,0,0,5.140067e-5,0,1.028013e-4,0,0,0
0,8.462146e-5,0,8.462146e-5,0,2.820715e-5,0,0,0,0,0,2.820715e-5,0,8.462146e-5,0,0,0
0,0,0,1.088455e-4,2.902547e-4,2.17691e-4,0,1.814092e-4,0,0,3.628184e-5,0,0,0,0,0,0
0,0,3.989786e-4,0,0,1.595914e-4,0,7.979572e-5,0,0,0,0,0,0,0,0,0
0,0,0,0,1.554908e-4,1.166181e-4,0,7.774538e-5,0,0,4.275996e-4,0,0,0,0,0,0
0,0,0,0,6.114338e-5,3.057169e-5,0,2.140018e-4,0,0,3.057169e-5,0,0,6.114338e-5,0,0,0
0,0,2.208334e-5,0,0,0,0,0,1.104167e-4,0,0,2.208334e-5,0,0,0,2.208334e-5,0
0,4.505113e-5,6.75767e-5,0,0,0,9.010227e-5,0,0,2.252557e-5,0,0,6.75767e-5,0,4.505113e-5,0,2.252557e-5
0,0,0,0,0,0,0,0,1.02819e-4,1.713649e-5,0,5.140948e-5,3.427298e-5,0,3.427298e-5,3.427298e-5,0
