group,Actinobacteria,Bacilli,Bacteriaunclassified,Bacteroidia,Betaproteobacteria,Clostridia,Erysipelotrichia,Firmicutesunclassified,Gammaproteobacteria,Mollicutes,Verrucomicrobiae
Ctrl,9.491001000000001e-4,0.1078810486,3.515186e-5,0.38744370911000026,0.004675197,0.04959926951999999,0.005202475,0,0.007276434,7.38189e-4,0.43619938156000004
Ctrl,0.0025385384,0.1912733129,1.471616e-4,0.20175857753999998,0.001876311,0.11228431850000001,5.518561e-4,7.358081e-5,0.05956367,0.0072845,0.4226482066
Ctrl,0.0038827484000000002,0.2502798623,0.001014412,0.19899958203999998,0.01532111,0.08391632969999999,1.399188e-4,0,0.01451658,0.01161326,0.4203162328
Ctrl,0.0012180266,0.37552707589999995,9.369437e-5,0.32661855577000015,4.684718e-5,0.2138573993500001,0.016209127,0.007964021,0.00215497,0.03518224,0.02112808155
Ctrl,0.0025684464,0.5766981677899999,0,0.034755996160000004,4.918302e-4,0.24214437460000007,0.0454669635,5.464779e-5,0.09355702,0.00371605,5.464779e-4
Ctrl,0.0014959822,0.14104978559999998,0.001025816,0.4360147087,0,0.02748333075,0.0029064800000000003,0,8.54847e-5,0.004573431,0.3853649878
Ctrl,0.0011522212,0.1570008512,2.560492e-4,0.36115735434,0,0.043827082400000016,1.7069946000000002e-4,1.280246e-4,1.280246e-4,6.827978e-4,0.43549694099999997
Ctrl,6.210216e-4,0.2191171143,0,0.29705532279999997,0,0.0992081978,7.245252e-4,0,0,1.035036e-4,0.38317031519999994
Ctrl,0.0034181021,0.1407802508,0,0.29386568369,1.367241e-4,0.16037735707000006,0.0252028088,0,9.114939e-5,0.004967642,0.371160358
Ctrl,0.001280184,0.1500905116,1.324328e-4,0.43062732892000005,0.00931444,0.06855604396000002,0,0,7.945967e-4,0.001677482,0.33752705246
HFD,0,0.8950191220000001,0,0.017816092179999996,6.704981e-4,0.01264367785999999,2.8735634e-4,0,0.07231801,0,0.001245211
HFD,1.6253556e-4,0.031613166479999996,0,0.31028039432,8.126778e-5,0.26745224936000006,0.0028443725999999997,0.008939456,0.002600569,0.08809427,0.28793171
HFD,3.0889620000000003e-4,0.3312397035,0,0.1106363262,0.0057660626,0.05462314630000001,0,0.0055601318,1.544481e-4,0,0.49171128500000005
HFD,3.919592e-4,0.16725461338,0.00442354,0.24267874543999998,6.159359e-4,0.07727196502,0.0054314346800000005,0,0.01954197,0.004479534,0.47791031370000003
HFD,0.001034311,0.24420428410000003,0,0.064341256,0,0.04672230546,1.069976e-4,0.002888936,3.209929e-4,0.03545189,0.6049289905
HFD,6.30517e-4,0.351565743,0,0.03005464696999999,5.254309e-5,0.2933480411600001,8.406894e-4,0,0.09179277,0.02033417,0.2113808048
HFD,0.0026295828,0.3658154235,0,0.027155499399999998,0,0.18331226269999992,1.011378e-4,0.0021744627,0.069380531,0.0053097345,0.34412136530000004
HFD,1.61143e-4,0.32862435489999997,0.001342859,0.1074287019,0.003545147,0.0402857594,6.445722e-4,0.003169146,0.01820916,0.01863888,0.477950219
HFD,0.00736092647,0.49505254,0,0.12477374579999999,0.05973211,0.17744660445000005,0.12585978369999998,0,0,0,0.009774345470000001
HFD,1.569612e-4,0.0155391578,0.01988176,0.3800031336299998,3.662429e-4,0.07644012175999998,0.0184167808,0,0,0.01041176,0.478784094
Met,5.270370000000001e-4,0.0829029198,0.029830294099999998,0.43759881959999986,0.0082217772,0.10762095520000001,0.0042689997,0.0013175925,0.0013175925,7.905555e-4,0.32560345739999996
Met,0.0021457266,0.07391344820000001,0.03592951,0.4640248393999999,0.01798758,0.17823228733999996,0.03204894752,0,4.565376e-5,1.82615e-4,0.19548940439999998
Met,0.0027601437000000003,0.13265244980000002,0.03510903,0.63880756737,0.008942865,0.08683411505000004,0.051007455,0,0,0,0.04388628007
Met,0.0019299137,0.17587607919999998,0.0165058405,0.4367699339000001,0.0071102082,0.17856780049999993,0.0168105637,0,5.07872e-5,0.0019807009,0.16439817159999998
Met,0.0086355790000000009,0.26323019000000003,0,0.42792613048,0.02502104,0.18170143904000002,0.055621985,0,2.214251e-4,3.985652e-4,0.0372437001
Met,0.0031097527999999998,0.16733690843,0,0.3626079011999999,0.01222455,0.09709935652000003,0.02637928,0.005522492,0.03983701,0.005361643,0.28052119569999995
Met,7.489434600000001e-4,0.057722137300000004,1.069919e-4,0.45466216460000003,0.02075643,0.11779810822000003,0.004226181,0.005991548,2.139838e-4,0.003370246,0.3344032624
Met,0.00105152472,0.0616759726,0,0.47860550802000007,0.0168244,0.10292809411999997,0.0025479255999999997,0.01217342,0.0764782,0,0.247714941
Met,0.003117516,0.15361679209999998,0.027922103,0.4393439452999999,0.01956355,0.11557403165999995,0.016039403,0.003162698,9.488095e-4,0.004653685,0.2160574747
Met,0.004419494,0.2032369823,0,0.37679172538000005,0.02353082,0.30679646816000006,0.07704252450000001,0,5.972289e-5,0,0.008122312
Met,0.003165467,0.18422060346000002,0.02153477,0.46067147566000005,0.004892086,0.09558753086000008,0.0219184639,0,1.918465e-4,0.004508393,0.20330934896
