Actinobacteria,Bacteriaunclassified,Bacteroidetes,CandidatusSaccharibacteria,Deferribacteres,Firmicutes,Proteobacteria,Tenericutes,Verrucomicrobia
0.01641246035,0.0010741138499999999,0.7047046583200002,0,2.577873e-4,0.26822771086000013,0.00730397446,0,0.002019334
0.0012712733699999999,0.00155833505,0.6895222316500003,0,1.640353e-4,0.28907116911999997,0.01578839464,0,0.002624564
0.0054583936999999996,0.0017823327000000002,0.6609112176999997,0,4.455832e-4,0.3112398355000002,0.0191600757,0,0.0010025621
0.00516910824,0.00126660272,0.6412775922000001,0,7.873477e-4,0.3345542695200003,0.016020812519999997,0,9.242777e-4
0.005966464699999998,0.00285464434,0.6159345615400003,0,7.715256e-5,0.3566634079199998,1.6716388000000002e-4,0.0179122501,4.243391e-4
0.0014530524100000001,6.2915693e-4,0.5048385635399997,0,1.348193e-4,0.4916412420499998,4.493978e-5,0.00122835393,2.995985e-5
0.00201328185,1.6526937e-4,0.6001833127100004,0,5.258571e-4,0.39054662749999974,2.1034284000000003e-4,0.00634033445,1.502449e-5
0.0018167222999999999,3.802442e-4,0.35345815863,0,1.267481e-4,0.6414296884899998,0.00084498710999999995,0.001056234,8.872365e-4
0.005340259880000001,0.00108051944,0.35663377233999993,0,0,0.6249558913999992,0.00209870136,0.00342857122,0.006462338
0.01404067479,9.066406e-4,0.42379323336000013,0,0,0.5492281584000003,0.0035530511,0.002768929,0.005709385
